thing_id,stationID,stationName,city,township,areaType,areaDescription,isOutdoor,isMobile,projectName,latitude,longitude,coordinate_crs,pm25_datastream_id,latest_pm25_value,latest_observation_phenomenon_time,freshness_status,observation_age_minutes,valid_coordinate,valid_pm25,future_timestamp,bbox_status
286,13372809628,智慧城鄉空品微型感測器-13372809628,桃園市,,,,,,,25.010843,121.47961,EPSG:4326,856,14.1,2026-09-02T10:59:18Z,fresh,3.38,True,True,False,inside_bbox
2217,10639632197,智慧城鄉空品微型感測器-10639632197,臺北市,,,,,,,25.105856,121.514465,EPSG:4326,6649,5.76,2026-09-02T11:00:26Z,fresh,2.25,True,True,False,inside_bbox
2218,10639739182,智慧城鄉空品微型感測器-10639739182,臺北市,,,,,,,25.10588,121.514496,EPSG:4326,6652,5.35,2026-09-02T11:00:50Z,fresh,1.85,True,True,False,inside_bbox
2219,10639892889,智慧城鄉空品微型感測器-10639892889,臺北市,,,,,,,25.105381,121.515045,EPSG:4326,6655,5.27,2026-09-02T11:00:25Z,fresh,2.26,True,True,False,inside_bbox
2220,10639981719,智慧城鄉空品微型感測器-10639981719,臺北市,,,,,,,25.105896,121.51449,EPSG:4326,6658,5.87,2026-09-02T11:00:40Z,fresh,2.01,True,True,False,inside_bbox
2221,10772820103,智慧城鄉空品微型感測器-10772820103,臺北市,,,,,,,25.105831,121.51447,EPSG:4326,6661,5.75,2026-09-02T11:00:17Z,fresh,2.4,True,True,False,inside_bbox
2223,13343585198,智慧城鄉空品微型感測器-13343585198,臺北市,北投區,特殊區(民眾陳情熱區),露天燃燒,,,,25.11301,121.50835,EPSG:4326,6667,5.29,2026-09-02T11:00:48Z,fresh,1.88,True,True,False,inside_bbox
2224,13343648706,智慧城鄉空品微型感測器-13343648706,臺北市,北投區,特殊區(民眾陳情熱區),營建混合物土資場,,,,25.117872,121.500015,EPSG:4326,6670,,,missing_observation,,True,False,False,inside_bbox
2225,13343814467,智慧城鄉空品微型感測器-13343814467,臺北市,北投區,特殊區(民眾陳情熱區),營建混合物土資場,,,,25.11476,121.50284,EPSG:4326,6673,,,missing_observation,,True,False,False,inside_bbox
2226,13343992001,智慧城鄉空品微型感測器-13343992001,臺北市,士林區,特殊區(民眾陳情熱區),社子島,,,,25.109526,121.47325,EPSG:4326,6676,5.61,2026-09-02T11:01:59Z,fresh,0.7,True,True,False,inside_bbox
2229,13344321298,智慧城鄉空品微型感測器-13344321298,臺北市,北投區,特殊區(民眾陳情熱區),營建混合物土資場,,,,25.11667,121.48895,EPSG:4326,6685,5.45,2026-09-02T11:00:27Z,fresh,2.23,True,True,False,inside_bbox
2231,13344691480,智慧城鄉空品微型感測器-13344691480,臺北市,士林區,特殊區(民眾陳情熱區),社子島,,,,25.10668,121.48649,EPSG:4326,6691,5.49,2026-09-02T11:01:15Z,fresh,1.43,True,True,False,inside_bbox
2233,13345038722,智慧城鄉空品微型感測器-13345038722,臺北市,士林區,特殊區(民眾陳情熱區),露天燃燒,,,,25.10339,121.49081,EPSG:4326,6697,6.92,2026-09-02T11:00:53Z,fresh,1.8,True,True,False,inside_bbox
2237,13345467633,智慧城鄉空品微型感測器-13345467633,臺北市,士林區,特殊區(民眾陳情熱區),營建混合物土資場,,,,25.10367,121.49334,EPSG:4326,6709,5.79,2026-09-02T11:00:23Z,fresh,2.3,True,True,False,inside_bbox
